test_id,category,has_pii,pii_type,input_text,redacted_text,is_redacted,outcome,mean_latency_us,p50_latency_us,p90_latency_us,p99_latency_us
1,Indian_Phone_Standard,True,phone,9876543210,[hidden],True,TP,1.172,1.1,1.2,2.01
2,Indian_Phone_Standard,True,phone,9123456789,[hidden],True,TP,1.17,1.1,1.2,2.411
3,Indian_Phone_Standard,True,phone,8901234567,[hidden],True,TP,1.163,1.1,1.2,1.511
4,Indian_Phone_Standard,True,phone,7890123456,[hidden],True,TP,1.149,1.1,1.2,1.302
5,Indian_Phone_Standard,True,phone,6381234567,[hidden],True,TP,1.255,1.1,1.2,1.899
6,Indian_Phone_Standard,True,phone,9443322110,[hidden],True,TP,1.153,1.1,1.2,1.403
7,Indian_Phone_Standard,True,phone,9840012345,[hidden],True,TP,1.146,1.1,1.2,1.3
8,Indian_Phone_Standard,True,phone,9962012345,[hidden],True,TP,1.161,1.2,1.2,1.301
9,Indian_Phone_Standard,True,phone,8056012345,[hidden],True,TP,1.131,1.1,1.2,1.3
10,Indian_Phone_Standard,True,phone,7358012345,[hidden],True,TP,0.999,1.0,1.1,1.402
11,Indian_Phone_Standard,True,phone,9789012345,[hidden],True,TP,0.996,1.0,1.0,2.102
12,Indian_Phone_Standard,True,phone,9884012345,[hidden],True,TP,1.103,1.0,1.1,2.534
13,Indian_Phone_Standard,True,phone,9600012345,[hidden],True,TP,2.099,1.0,1.1,3.183
14,Indian_Phone_Standard,True,phone,9444012345,[hidden],True,TP,1.017,1.0,1.1,1.317
15,Indian_Phone_Standard,True,phone,9381012345,[hidden],True,TP,1.019,1.0,1.1,1.2
16,Indian_Phone_Standard,True,phone,9841012345,[hidden],True,TP,1.02,1.0,1.0,1.225
17,Indian_Phone_Standard,True,phone,9791012345,[hidden],True,TP,0.975,1.0,1.0,1.209
18,Indian_Phone_Standard,True,phone,9842012345,[hidden],True,TP,1.004,1.0,1.1,2.1
19,Indian_Phone_Standard,True,phone,9445012345,[hidden],True,TP,0.98,1.0,1.0,1.217
20,Indian_Phone_Standard,True,phone,9940012345,[hidden],True,TP,0.988,1.0,1.0,1.113
21,Indian_Phone_Standard,True,phone,98765 43210,[hidden],True,TP,0.973,0.9,1.0,1.605
22,Indian_Phone_Standard,True,phone,91234 56789,[hidden],True,TP,0.945,0.9,1.0,1.0
23,Indian_Phone_Standard,True,phone,89012 34567,[hidden],True,TP,0.935,0.9,1.0,1.001
24,Indian_Phone_Standard,True,phone,78901 23456,[hidden],True,TP,0.943,0.9,1.0,1.1
25,Indian_Phone_Standard,True,phone,63812 34567,[hidden],True,TP,0.954,0.9,1.0,1.212
